,article_counts,month
0,0,2004/01
1,0,2004/02
2,0,2004/05
3,0,2004/06
4,0,2004/07
5,0,2004/08
6,0,2004/09
7,0,2004/10
8,0,2004/11
9,0,2004/12
10,0,2005/01
11,3,2005/02
12,1,2005/05
13,0,2005/06
14,0,2005/07
15,0,2005/08
16,0,2005/09
17,0,2005/10
18,0,2005/11
19,0,2005/12
20,0,2006/01
21,0,2006/02
22,0,2006/05
23,0,2006/06
24,0,2006/07
25,0,2006/08
26,0,2006/09
27,1,2006/10
28,0,2006/11
29,0,2006/12
30,0,2007/01
31,0,2007/02
32,0,2007/05
33,1,2007/06
34,0,2007/07
35,0,2007/08
36,1,2007/09
37,0,2007/10
38,0,2007/11
39,1,2007/12
40,0,2008/01
41,0,2008/02
42,2,2008/05
43,0,2008/06
44,0,2008/07
45,0,2008/08
46,2,2008/09
47,0,2008/10
48,0,2008/11
49,0,2008/12
50,1,2009/01
51,1,2009/02
52,8,2009/05
53,17,2009/06
54,3,2009/07
55,2,2009/08
56,3,2009/09
57,1,2009/10
58,0,2009/11
59,0,2009/12
60,2,2010/01
61,1,2010/02
62,9,2010/05
63,7,2010/06
64,1,2010/07
65,12,2010/08
66,14,2010/09
67,14,2010/10
68,11,2010/11
69,7,2010/12
70,5,2011/01
71,4,2011/02
72,2,2011/05
73,0,2011/06
74,1,2011/07
75,1,2011/08
76,0,2011/09
77,3,2011/10
78,0,2011/11
79,55,2011/12
80,22,2012/01
81,18,2012/02
82,5,2012/05
83,5,2012/06
84,21,2012/07
85,18,2012/08
86,5,2012/09
87,5,2012/10
88,9,2012/11
89,31,2012/12
90,22,2013/01
91,19,2013/02
92,18,2013/05
93,15,2013/06
94,10,2013/07
95,5,2013/08
96,14,2013/09
97,6,2013/10
98,6,2013/11
99,34,2013/12
100,27,2014/01
101,16,2014/02
102,7,2014/05
103,9,2014/06
104,11,2014/07
105,6,2014/08
106,6,2014/09
107,25,2014/10
108,19,2014/11
109,72,2014/12
110,30,2015/01
111,15,2015/02
112,19,2015/05
113,6,2015/06
114,4,2015/07
115,27,2015/08
116,4,2015/09
117,10,2015/10
118,3,2015/11
119,10,2015/12
120,33,2016/01
121,16,2016/02
122,31,2016/05
123,20,2016/06
124,11,2016/07
125,37,2016/08
126,76,2016/09
127,15,2016/10
128,8,2016/11
129,7,2016/12
130,16,2017/01
131,42,2017/02
132,51,2017/05
133,20,2017/06
134,35,2017/07
135,118,2017/08
136,124,2017/09
137,51,2017/10
138,67,2017/11
139,38,2017/12
